line,fault_node,fault_type,fault_R,monitor_node,Ia_base,Ib_base,Ic_base,Va_base,Vb_base,Vc_base,Ia_fault,Ib_fault,Ic_fault,Va_fault,Vb_fault,Vc_fault
SP,SP-0001,4,1,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,3168.70852736201,3062.0823997318,278.071075489096,5436.32763771387,2132.3272942731,5776.35359888365
SP,SP-0001,4,1,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,204.852388867652,137.997028536544,234.345500077729,4776.27396926615,1786.2707518842,4974.77559246369
SP,SP-0001,4,5,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,1128.67292953009,1137.96845064451,284.091508715877,5989.08259761905,4341.87321258067,5774.63100461234
SP,SP-0001,4,5,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,245.962671981988,227.79987078431,239.31137387255,5298.30430473727,3760.61569894025,4960.08788479921
SP,SP-0001,5,1,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,316.88626558649,2821.52101733604,2663.35689525309,5743.47195910335,4861.49375218196,2507.88361936973
SP,SP-0001,5,1,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,256.012114095858,238.303831209111,101.708591509512,5084.14148445748,4301.17331696666,2152.89569416334
SP,SP-0001,5,5,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,302.004106741601,1071.70189634955,1058.15500416204,5741.46397466451,5247.58744864113,4833.06425862675
SP,SP-0001,5,5,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,243.563887540079,263.865092820778,199.641365534742,5100.42384475822,4584.32088257737,4147.20625264609
SP,SP-0001,6,1,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,3010.73990711535,311.377241720448,3105.76885239402,2551.16296296971,5117.01914988581,4926.9414140751
SP,SP-0001,6,1,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,100.273297005736,251.725683164008,188.920272777695,2330.43246714072,4443.21591937393,4299.76040608524
